season,date,reported_time,T_SFC,T_SFC_historical,RH_SFC,RH_SFC_historical,WindMagKmh_SFC,WindMagKmh_SFC_historical,DF_SFC,DF_SFC_historical,KBDI,KBDI_historical,soil_moisture,Curing,Curing_historical,grass_density_3km,forest_density_3km,shrub_density_3km,noveg_density_3km,primary_fuel_type,distance_to_interface,elevation_m,ruggedness_average_3km,building_density_3km,building_density_20km,road_density_km_in_3km,road_distance_m,FFDI,FFDI_historical,GFDI,GFDI_historical,uncontrolled_within_2_hrs,uncontrolled_within_4_hrs,uncontrolled_within_5_ha,uncontrolled_within_100_ha
2007-08,,,,19.6,,39.1,,11.6,,8.22,,58.1,0.06117235869169235,,53.0,0.01724313845525967,0.43681767166615654,0.5343587389041935,0.0115804509743902,shrub,65,334.0,16.8115,0,399,22.58060143141743,872.3939377342131,,8.48,,0.2,1.0,1.0,0.0,0.0
2007-08,,,,19.6,,39.1,,11.6,,8.22,,58.1,0.005208680406212807,,53.0,0.026553412917049282,0.5127793082338536,0.4518926640138761,0.008774614835220962,forest,21,116.0,17.277225,0,369,15.753244492146038,395.45592413590225,,8.48,,0.2,1.0,1.0,1.0,1.0
2007-08,,,,22.4,,32.1,,8.9,,9.92,,120.9,0.08790228515863419,,89.0,0.31001938577696153,0.4968115498418529,0.03573614937251301,0.15743291500867257,forest,1,205.0,2.9976,29,763,158.90871253776703,159.8647320252732,,12.74,,4.52,0.0,0.0,0.0,0.0
2007-08,,,,20.0,,35.3,,10.0,,7.7,,46.4,0.07850579917430878,,37.0,0.10547393123150699,0.42187021732476276,0.4301856953372105,0.042470156106519774,shrub,4,256.0,24.945225,2,129,68.47913578781797,71.62017437453895,,8.58,,0.02,0.0,0.0,0.0,0.0
2007-08,,,,24.6,,26.4,,11.2,,9.12,,84.9,0.15236127376556396,,40.0,0.880981532496684,0.017498214467911437,0.08430262218141006,0.01721763085399451,grass,2,90.0,2.337625,0,331,31.909678983438223,223.51074687876203,,16.9,,0.1,0.0,0.0,0.0,0.0
2007-08,,,,22.6,,35.8,,11.2,,8.75,,72.6,0.06701214611530304,,74.0,0.7061269258238955,0.19107744107744107,0.023160901948780736,0.07963473114988273,grass,1,61.0,2.906225,19,1057,81.94808090257929,17.816782261448303,,10.98,,1.05,0.0,0.0,0.0,0.0
2007-08,,,,21.1,,33.3,,12.5,,8.1,,55.7,0.02956794761121273,,52.0,0.2123507805325987,0.5146413631262116,0.09353637383940414,0.1794714825017856,forest,0,198.0,15.345,51,1421,164.7633926502783,0.5706822584483089,,11.16,,0.22,0.0,0.0,0.0,0.0
2007-08,,,,18.4,,36.9,,13.1,,9.03,,81.6,0.05752995237708092,,67.0,0.6589633710845832,0.2354351596775839,0.0,0.10560146923783284,grass,0,302.0,10.72895,44,154,99.86676533164245,2.890047367831734,,10.27,,1.62,0.0,0.0,0.0,0.0
2007-08,,,,12.5,,74.8,,4.4,,7.54,,42.9,0.04409930482506752,,60.0,0.32754310784613816,0.34654627078869504,0.03535353535353535,0.29055708601163144,forest,0,132.0,13.672875,17,2481,202.78291665713394,15.070102949098345,,1.31,,0.08,0.0,0.0,0.0,0.0
2007-08,,,,6.0,,97.2,,5.1,,8.85,,76.0,0.08756203204393387,,80.0,0.44490358126721763,0.24423528211407,0.0,0.3108611366187124,grass,0,421.0,4.4181,151,883,262.63784452356384,0.46042384808302395,,0.59,,0.36,0.0,0.0,0.0,0.0
2007-08,,,,9.1,,98.3,,15.7,,8.48,,64.8,0.07099223881959915,,72.0,0.44809203142536475,0.4241403938373635,0.0,0.1277675747372718,grass,1,525.0,5.9047,65,928,157.5098514148548,0.3133825566244722,,0.95,,1.04,0.0,0.0,0.0,0.0
2007-08,,,,13.5,,71.6,,14.2,,7.57,,43.6,0.03897210955619812,,60.0,0.2590041832466075,0.4308233853688399,0.06211100908070605,0.2480614223038466,forest,0,226.0,15.952925,8,2345,199.85231973601313,18.816324296424426,,2.31,,0.37,0.0,0.0,0.0,0.0
2007-08,,,,16.6,,56.2,,17.9,,9.83,,115.9,0.0810512974858284,,99.0,0.9485256606468727,0.033619018467503314,0.003035404550556066,0.014819916335067905,grass,8,171.0,1.523025,5,40,31.370686614967116,618.2282045680929,,6.66,,12.39,0.0,0.0,0.0,0.0
2007-08,,,,21.0,,37.2,,11.8,,9.99,,125.0,0.08270592987537384,,63.0,0.5125752474237323,0.38820018365472914,0.004565860626466687,0.09465870829507189,grass,1,117.0,1.43115,0,256,55.62928339385443,7.1959943841841065,,11.63,,3.59,0.0,0.0,0.0,0.0
2007-08,,,,19.3,,52.1,,14.6,,10.0,,160.0,0.10374835133552551,,71.0,0.4070503009896949,0.3588919498010407,0.09192939495969799,0.14212835424956644,grass,3,49.0,2.26735,46,125,85.69194564798998,14.969930325163173,,7.42,,3.1,0.0,0.0,0.0,0.0
